Time,Bacteroides theta,Bacteroides fragilis,Bifido longum,Bifido breve,Bifido adolescentis,Eubacterium hallii,Faecalibacterium prausnitzii,Roseburia intestinalis
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.02,0.010007264,0.010026491,0.010058011,0.010191455,0.010085567,0.010031077,0.010014819,0.010014956
0.04,0.010014594,0.010053106,0.010116359,0.010390327,0.010172196,0.010063341,0.010029746,0.010030009
0.06,0.010021991,0.010079847,0.010175047,0.010596833,0.010259902,0.010096828,0.010044783,0.01004516
0.08,0.010029456,0.010106715,0.010234081,0.010811177,0.010348699,0.010131579,0.01005993,0.01006041
0.1,0.010036989,0.01013371,0.010293465,0.011033567,0.010438604,0.010167634,0.010075189,0.010075759
0.12,0.01004459,0.010160834,0.010353203,0.011264216,0.010529632,0.010205034,0.010090559,0.010091207
0.14,0.01005226,0.010188087,0.0104133,0.011503345,0.010621799,0.010243822,0.010106042,0.010106756
0.16,0.010060001,0.010215471,0.01047376,0.01175118,0.010715121,0.010284042,0.010121639,0.010122405
0.18,0.010067812,0.010242986,0.010534587,0.012007953,0.010809614,0.01032574,0.010137349,0.010138157
0.2,0.010075693,0.010270634,0.010595788,0.012273905,0.010905295,0.010368962,0.010153175,0.01015401
0.22,0.010083647,0.010298415,0.010657365,0.012549282,0.011002179,0.010413756,0.010169117,0.010169967
0.24,0.010091672,0.01032633,0.010719324,0.012834337,0.011100284,0.010460171,0.010185175,0.010186027
0.26,0.01009977,0.010354381,0.01078167,0.013129332,0.011199627,0.010508259,0.01020135,0.010202192
0.28,0.010107942,0.010382568,0.010844407,0.013434536,0.011300224,0.010558072,0.010217644,0.010218461
0.3,0.010116187,0.010410893,0.01090754,0.013750225,0.011402093,0.010609664,0.010234057,0.010234836
0.32,0.010124508,0.010439356,0.010971074,0.014076685,0.011505252,0.01066309,0.01025059,0.010251317
0.34,0.010132903,0.010467958,0.011035015,0.01441421,0.011609718,0.010718409,0.010267243,0.010267906
0.36,0.010141374,0.010496701,0.011099366,0.014763101,0.011715509,0.010775679,0.010284018,0.010284602
0.38,0.010149922,0.010525586,0.011164133,0.015123671,0.011822642,0.010834961,0.010300916,0.010301406
0.4,0.010158547,0.010554613,0.011229321,0.015496241,0.011931138,0.010896319,0.010317937,0.010318319
0.42,0.01016725,0.010583784,0.011294935,0.01588114,0.012041013,0.010959817,0.010335081,0.010335342
0.44,0.010176031,0.0106131,0.01136098,0.01627871,0.012152286,0.011025522,0.010352351,0.010352476
0.46,0.010184891,0.010642562,0.011427462,0.016689302,0.012264978,0.011093504,0.010369747,0.010369721
0.48,0.010193831,0.010672171,0.011494385,0.017113276,0.012379105,0.011163833,0.01038727,0.010387077
