X105_B	X10_B	X128_B	X12_B	X130_B	X133_B	X137_B	X150_B	X157_B	X172_B	X180_B	X181_B	X184_B	X201_B	X229_B	X238_B	X240_B	X256_B	X258_B	X263_B	X265_B	X268_B	X26_B	X272_B	X274_B	X275_B	X276_B	X281_B	X282_B	X332_B	X335_B	X338_B	X341_B	X343_B	X350_B	X367_B	X377_B	X383_B	X385_B	X397_B	X39_B	X42_B	X45_B	X51_B	X521_B	X526_B	X527_B	X536_B	X544_B	X549_B	X560_B	X565_B	X567_B	X572_B	X582_B	X585_B	X587_B	X589_B	X590_B	X591_B	X599_B	X608_B	X615_B	X624_B	X633_B	X637_B	X78_B	X87_B
MN00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000861352193016894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90608573211548e-05	0	0	0	0	0	0	0	6.07480436160644e-05	0	0	0	0	0	9.85524813262725e-05
MN00002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.10840932802479e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000524605429293127	2.30154145616329e-05	0	0	0	0	0.000110837124686933	0	0	0
MN00003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00004	0	0	0.00188012204989435	0.00169418045609513	0	0	0	0	0	0	0	0	0.0121316335397948	0	0.000259026560086329	0	0	0	0.000403204056887226	0.000593803597110649	0.000653443850290997	0.0399429474358101	0	0.00176761376489611	0.000492964761515889	0.00614755008470664	0.0996161363212736	0.00228477044232425	0.00775222858123933	0.0317216073229103	0.00365557626426577	0	0.00529580529374483	0	0.00367385152901951	0	0.000682356526428943	0	0	0	0.00589785485615952	0.000837605691069359	0.711009899639627	0	8.15244102157793e-05	0	0	0	0	0	1.68076953633861e-05	0.00575722264488701	0.00285919446938917	0	0	0	0	0	0.0202651568591142	0.000621819429958876	0	0	0	0.00359308229445038	0.000377136511693377	0.00201199319267456	0	0
MN00005	0	0	0	0	0	0	0	0	4.71607843461296e-05	5.09840742248194e-05	0	0	0.00395349267047587	6.64522775423068e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000403461780628556	0.000995042611166662	0	0	0	0	0.000324047835358864	0	0	0	0	0	0	0	0.000546970005244177	0	0	0	0	0	0	0	0	0.000905649307122564	0	0	0	0	0.0250336393334585	0	0.0178446883097793	0	0	0	0	0	0	0	0	0
MN00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.44235224641639e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0257418034971305	0	1.97206113685631e-05	0
MN00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.67483118891107e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.07665112804364e-05	0	0	0
MN00009	0	0	0	0	0.000150479117188939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013599781231838	0	0	0	0	0	0	0.000829744004185095	0.000204468175911107	0.000153612813070231	0	0	0	0	0	0	0	0	0	0	0	0.000115161862709203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000621964120570594	0	0	0	0	0	0	0	0	0
MN00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0106330928932806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000231758347564098	0	0	0	0	0	0	0	0	0
