#MetaOTU ID	The Counts of genomes	The Counts of Re-assembled genomes	Counts of Genus	Genus Annotation	Counts of Species	Species Annotation	Genome ID
MS00045	9	8	1	Bacteroides	1	Bacteroides fragilis	624_4M_MT02,598_12M_MT07,Bacteroides_fragilis_3_1_12_uid55575,42_12M_MT04,181_12M_MT03,624_B_MT06,624_12M_MT02,157_12M_MT02,157_4M_MT06,
MS00052	88	85	1	Bacteroides	1	Bacteroides thetaiotaomicron	70_4M_LD10,70_B_CW11,275_12M_MT01,536_12M_MT01,335_12M_MT01,565_12M_MT01,591_12M_MT05,275_B_PY05,590_B_MT07,511_4M_MT05,622_12M_MT05,387_12M_MT01,281_12M_MT05,105_12M_MT03,130_12M_MT03,157_12M_MT01,591_4M_MT08,10_12M_MT01,Bacteroides_1_1_14_uid49709,51_12M_MT01,263_4M_MT03,590_12M_MT01,281_B_PY11,590_4M_MT09,Bacteroides_thetaiotaomicron_VPI_5482_uid62913,133_12M_MT01-2,276_B_PY04,527_12M_MT01,565_4M_MT01,263_B_CW03,201_B_GY01,503_4M_LD07,241_12M_MT03,276_4M_MT05-2,70_12M_MT01-2,598_12M_MT01,263_12M_MT02,Bacteroides_1_1_6_uid55577,244_4M_LD15,338_4M_LD01,570_4M_MT04,281_4M_LD17,274_12M_MT01,130_4M_MT04,184_12M_MT02,511_B_LX07,544_12M_MT01,572_4M_MT05,241_4M_MT03,201_12M_MT01,570_12M_MT01,338_12M_MT01-1,345_12M_MT02,128_12M_MT08,511_12M_MT05,18_12M_MT07,272_12M_MT05,367_12M_MT09,172_B_PY05,546_12M_MT08,633_12M_MT06,7_12M_MT10,635_12M_MT08,350_12M_MT06,589_12M_MT06,82_12M_MT14,633_4M_LD02,511_12M_MT31,589_4M_MT02,589_12M_MT34,7_12M_MT26,18_4M_MT02,546_12M_MT36,82_12M_MT32,332_B_CW03,82_4M_MT06,633_12M_MT23,367_4M_MT05,272_12M_MT21,128_12M_MT46,350_12M_MT25,367_B_PY03,128_4M_MT06,332_4M_MT01,18_12M_MT18,272_4M_MT01,367_12M_MT33,635_12M_MT25,
MS00054	103	98	1	Bacteroides	1	Bacteroides fragilis	282_4M_LD03,635_B_CW06,203_12M_MT01,383_12M_MT02,274_4M_MT03,367_12M_MT02,587_B_MT01,567_4M_MT01,615_4M_MT02,526_4M_MT01,367_4M_MT12,640_12M_MT02,130_12M_MT04,385_12M_MT01,Bacteroides_3_2_5_uid55583,150_B_GY01,626_4M_MT07,Bacteroides_2_1_56FAA_uid68193,82_4M_MT11,51_12M_MT02,350_4M_MT02,51_4M_MT02,341_B_PY07,587_12M_MT02,565_B_LX07,635_12M_MT05,201_12M_MT03,341_12M_MT03,350_B_PY02,503_12M_MT01,133_4M_MT08,238_B_SS01,615_12M_MT01,201_4M_MT02,1_4M_MT05,338_B_PY02,275_B_PY06,635_4M_LD06,546_4M_MT05,82_B_MT10,587_4M_MT03,582_12M_MT01,180_12M_MT02,570_12M_MT02,130_4M_MT02,150_4M_MT01,503_B_LX02,503_4M_MT11,1_B_CW03,565_4M_MT02,10_B_GY01,78_12M_MT12,10_12M_MT02,201_B_GY02,591_12M_MT03,10_4M_MT01,521_4M_MT02,Bacteroides_fragilis_NCTC_9343_uid57639,387_12M_MT05,272_4M_MT05,Bacteroides_fragilis_YCH46_uid58195,546_12M_MT01,238_12M_MT01,137_12M_MT05,45_4M_MT02,341_4M_MT03,Bacteroides_2_1_16_uid41707,82_12M_MT04,282_12M_MT02,591_4M_MT03,567_12M_MT03,263_12M_MT03,511_4M_MT07,272_B_PY05,1_12M_MT02,275_12M_MT02,565_12M_MT02,626_12M_MT03,338_4M_MT02,521_12M_MT02,137_B_PY03,332_12M_MT03,18_B_PY05,150_12M_MT02,137_4M_MT02,53_4M_MT03,570_4M_MT05,338_12M_MT05,566_12M_MT01,229_B_SS03,180_4M_MT02,511_B_LX08,367_B_PY10,45_12M_MT03,532_12M_MT03,272_12M_MT03,582_4M_MT01,265_12M_MT01,172_12M_MT01,18_4M_MT08,78_4M_MT07,53_12M_MT02,591_B_MT01,
MS00056	43	42	1	Bifidobacterium	1	Bifidobacterium breve	345_B_PY03,367_B_PY05,45_12M_MT12,397_4M_MT04,589_B_LZ04,42_4M_MT06,157_4M_MT02,507_B_LX04,345_4M_MT03,105_B_GY02,179_4M_MT06,589_12M_MT11,377_4M_MT10,282_12M_MT13,42_12M_MT11,507_4M_MT07,377_12M_MT12,521_4M_MT09,587_12M_MT14,Bifidobacterium_breve_DSM_20213_uid55111,335_12M_MT07,38_4M_MT04,589_4M_MT01,256_12M_MT13,387_4M_MT12,268_4M_MT07,10_4M_MT07,633_12M_MT16,157_12M_MT16,570_12M_MT10,587_4M_MT07,350_4M_MT05,195_12M_MT18,367_12M_MT24,635_4M_MT01,590_4M_MT08,511_4M_MT12,105_12M_MT15,397_B_CW03,350_B_PY06,566_4M_MT05,367_4M_MT08,341_4M_MT10,
MS00059	189	178	1	Bifidobacterium	1	Bifidobacterium longum	Bifidobacterium_longum_JDM301_uid49131,565_4M_MT06,181_4M_MT04,549_12M_MT15,622_4M_MT02,350_4M_MT03,26_12M_MT12,201_4M_MT08,82_B_MT08,503_12M_MT12,350_12M_MT13,10_4M_MT03,105_12M_MT10,345_4M_MT10,276_12M_MT16,203_4M_MT02,503_4M_MT01,Bifidobacterium_12_1_47BFAA_uid61873,367_B_PY14,70_B_CW02,511_B_LX13,585_12M_MT20,Bifidobacterium_longum_DJO10A_uid54103,598_4M_MT09,70_4M_MT05,7_12M_MT16,503_B_LX04,265_4M_MT03,87_12M_MT17,128_12M_MT15,272_B_PY07,51_B_LX02,577_12M_MT14,130_12M_MT17,615_4M_MT04,565_B_LX13,335_B_PY05,504_12M_MT10,244_B_PY05,633_4M_MT10,195_4M_MT11,53_4M_MT07,39_B_MT08,103_B_GY07,Bifidobacterium_longum_infantis_157F_uid62693,51_4M_MT05,130_4M_MT03,229_4M_MT05,276_4M_MT11,570_4M_MT08,78_12M_MT14,Bifidobacterium_longum_NCC2705_uid57939,184_B_PY06,45_4M_MT04,527_4M_MT04,42_12M_MT21,599_B_MT03,345_B_PY11,590_B_MT17,567_4M_MT05,274_4M_MT09,Bifidobacterium_longum_infantis_CCUG_52486_uid55285,572_4M_MT09,133_4M_MT13,377_12M_MT17,536_4M_MT06,53_B_MT03,Bifidobacterium_longum_infantis_ATCC_15697_uid58677,591_B_MT06,507_12M_MT14,567_12M_MT07,70_12M_MT20,326_4M_MT05,42_4M_MT14,546_12M_MT20,256_4M_MT02,343_B_PY03,504_4M_MT03,598_12M_MT12,10_12M_MT16,263_B_CW02,590_4M_MT01,105_4M_MT04,Bifidobacterium_longum_DJO10A_uid58833,343_4M_MT02,335_4M_MT09,282_B_PY04,238_4M_MT02,527_12M_MT11,633_12M_MT10,341_B_PY13,263_12M_MT21,341_4M_MT07,256_B_PY02,39_12M_MT13,Bifidobacterium_longum_JCM_1217_uid62695,566_12M_MT07,1_B_CW06,637_B_CW04,387_4M_MT09,268_B_CW02,622_B_MT03,150_4M_MT04,622_12M_MT13,38_12M_MT14,184_4M_MT05,549_4M_MT04,387_B_PY03,1_4M_MT10,201_12M_MT10,332_4M_MT09,137_4M_MT05,275_12M_MT07,276_B_PY17,272_12M_MT12,624_12M_MT11,282_4M_MT03,507_4M_MT03,82_12M_MT21,53_12M_MT17,367_12M_MT16,268_12M_MT15,397_12M_MT13,560_4M_MT03,7_B_MT05,172_B_PY15,38_B_PY04,526_4M_MT05,263_4M_MT10,265_12M_MT13,281_B_PY16,78_B_CW04,272_4M_MT08,179_12M_MT09,377_B_PY06,587_4M_MT05,281_4M_MT14,128_B_SS04,608_12M_MT11,7_4M_MT03,172_12M_MT15,78_4M_MT13,326_12M_MT06,240_12M_MT09,275_B_PY09,38_4M_MT11,244_4M_MT09,275_4M_MT02,599_12M_MT14,157_12M_MT08,Bifidobacterium_longum_BBMN68_uid60163,582_12M_MT08,82_4M_MT02,26_4M_MT05,585_4M_MT03,181_12M_MT09,383_12M_MT11,338_B_PY04,338_12M_MT15,240_4M_MT03,224_4M_MT05,377_4M_MT08,599_4M_MT03,546_4M_MT11,591_4M_MT06,128_4M_MT15,338_4M_MT04,626_4M_MT13,383_4M_MT03,195_12M_MT13,635_4M_MT07,521_4M_MT07,229_12M_MT13,18_4M_MT14,229_B_SS07,332_B_CW09,640_12M_MT12,624_4M_MT04,637_4M_MT07,566_4M_MT02,532_4M_MT01,385_4M_MT02,367_4M_MT02,39_4M_MT12,572_B_MT11,Bifidobacterium_longum_infantis_ATCC_55813_uid55465,244_12M_MT13,590_12M_MT09,608_4M_MT03,
MS00159	19	18	1	Eubacterium	1	Eubacterium hallii	70_12M_MT14,397_12M_MT07,367_12M_MT13,615_12M_MT05,133_12M_MT14,263_12M_MT14,87_12M_MT16,268_12M_MT12,598_12M_MT10,130_12M_MT09,276_12M_MT13,566_12M_MT05,585_12M_MT11,Eubacterium_hallii_DSM_3353_uid54535,39_12M_MT12,275_12M_MT10,10_12M_MT13,172_12M_MT12,130_12M_MT24,
MS00167	28	27	1	Faecalibacterium	1	Faecalibacterium prausnitzii	338_12M_MT10,181_12M_MT08,78_12M_MT15,585_12M_MT12,503_12M_MT10,263_12M_MT18,128_12M_MT11,635_12M_MT13,615_12M_MT08,51_12M_MT15,184_12M_MT13,10_12M_MT12,203_12M_MT07,Faecalibacterium_cf__prausnitzii_KLE1255_uid60645,275_12M_MT12,87_12M_MT15,511_12M_MT16,275_12M_MT19,504_12M_MT19,599_12M_MT08,256_12M_MT10,244_12M_MT14,385_12M_MT15,268_12M_MT11,274_12M_MT07,527_12M_MT10,45_12M_MT11,341_12M_MT24,
MS00168	6	5	1	Faecalibacterium	1	Faecalibacterium prausnitzii	Faecalibacterium_prausnitzii_M21_2_uid54555,133_12M_MT16,549_12M_MT10,39_12M_MT11,341_12M_MT08,589_12M_MT16,
MS00169	4	3	1	Faecalibacterium	1	Faecalibacterium prausnitzii	Faecalibacterium_prausnitzii_A2_165_uid54551,504_12M_MT09,536_12M_MT10,582_12M_MT15,
MS00300	45	44	1	Roseburia	1	Roseburia intestinalis	87_12M_MT18,179_12M_MT10,345_12M_MT13,572_12M_MT05,263_12M_MT08,18_12M_MT10,503_12M_MT11,137_12M_MT06,599_12M_MT07,276_12M_MT08,133_12M_MT08,549_12M_MT06,367_12M_MT12,272_12M_MT11,265_12M_MT10,82_12M_MT12,78_12M_MT05,341_12M_MT13,504_12M_MT07,258_12M_MT05,511_12M_MT07,184_12M_MT11,51_12M_MT13,Roseburia_intestinalis_L1_82_uid55267,585_12M_MT05,582_12M_MT06,624_12M_MT03,544_12M_MT06,565_12M_MT08,536_12M_MT08,179_12M_MT23,184_12M_MT38,137_12M_MT19,504_12M_MT37,582_12M_MT25,503_12M_MT36,272_12M_MT25,265_12M_MT18,51_12M_MT30,258_12M_MT20,18_12M_MT23,133_12M_MT29,599_12M_MT22,572_12M_MT18,536_12M_MT25,
