MetaOTU	Species	Type	Sample	RelativeAbundance
MS00045	Bacteroides fragilis	12 Months	X105	0
MS00045	Bacteroides fragilis	12 Months	X10	0
MS00045	Bacteroides fragilis	12 Months	X128	0
MS00045	Bacteroides fragilis	12 Months	X12	0
MS00045	Bacteroides fragilis	12 Months	X130	0
MS00045	Bacteroides fragilis	12 Months	X133	0
MS00045	Bacteroides fragilis	12 Months	X137	0.00132624852608809
MS00045	Bacteroides fragilis	12 Months	X150	0
MS00045	Bacteroides fragilis	12 Months	X157	0.121865133756312
MS00045	Bacteroides fragilis	12 Months	X172	0
MS00045	Bacteroides fragilis	12 Months	X180	0
MS00045	Bacteroides fragilis	12 Months	X181	0.0711890562809138
MS00045	Bacteroides fragilis	12 Months	X184	0.000145483999790469
MS00045	Bacteroides fragilis	12 Months	X201	0
MS00045	Bacteroides fragilis	12 Months	X229	0
MS00045	Bacteroides fragilis	12 Months	X238	0.00233602162852673
MS00045	Bacteroides fragilis	12 Months	X240	0
MS00045	Bacteroides fragilis	12 Months	X256	0
MS00045	Bacteroides fragilis	12 Months	X258	0
MS00045	Bacteroides fragilis	12 Months	X263	0
MS00045	Bacteroides fragilis	12 Months	X265	0.00276094340521738
MS00045	Bacteroides fragilis	12 Months	X268	0
MS00045	Bacteroides fragilis	12 Months	X26	0
MS00045	Bacteroides fragilis	12 Months	X272	0
MS00045	Bacteroides fragilis	12 Months	X274	0
MS00045	Bacteroides fragilis	12 Months	X275	0
MS00045	Bacteroides fragilis	12 Months	X276	0
MS00045	Bacteroides fragilis	12 Months	X281	0
MS00045	Bacteroides fragilis	12 Months	X282	0
MS00045	Bacteroides fragilis	12 Months	X332	0
MS00045	Bacteroides fragilis	12 Months	X335	0
MS00045	Bacteroides fragilis	12 Months	X338	0
MS00045	Bacteroides fragilis	12 Months	X341	0
MS00045	Bacteroides fragilis	12 Months	X343	0
MS00045	Bacteroides fragilis	12 Months	X350	0
MS00045	Bacteroides fragilis	12 Months	X367	0
MS00045	Bacteroides fragilis	12 Months	X377	0
MS00045	Bacteroides fragilis	12 Months	X383	0
MS00045	Bacteroides fragilis	12 Months	X385	0
MS00045	Bacteroides fragilis	12 Months	X397	0
MS00045	Bacteroides fragilis	12 Months	X39	0.000308536504847869
MS00045	Bacteroides fragilis	12 Months	X42	0.0108505044946249
MS00045	Bacteroides fragilis	12 Months	X45	0
MS00045	Bacteroides fragilis	12 Months	X51	0
MS00045	Bacteroides fragilis	12 Months	X521	0
MS00045	Bacteroides fragilis	12 Months	X526	0
MS00045	Bacteroides fragilis	12 Months	X527	0
MS00045	Bacteroides fragilis	12 Months	X536	0
MS00045	Bacteroides fragilis	12 Months	X544	0
MS00045	Bacteroides fragilis	12 Months	X549	0.000933333572948523
MS00045	Bacteroides fragilis	12 Months	X560	0.00173429844289152
MS00045	Bacteroides fragilis	12 Months	X565	0.000943701741648337
MS00045	Bacteroides fragilis	12 Months	X567	0
MS00045	Bacteroides fragilis	12 Months	X572	0
MS00045	Bacteroides fragilis	12 Months	X582	0
MS00045	Bacteroides fragilis	12 Months	X585	0
MS00045	Bacteroides fragilis	12 Months	X587	0
MS00045	Bacteroides fragilis	12 Months	X589	0
MS00045	Bacteroides fragilis	12 Months	X590	0
MS00045	Bacteroides fragilis	12 Months	X591	0
MS00045	Bacteroides fragilis	12 Months	X599	0
MS00045	Bacteroides fragilis	12 Months	X608	0
MS00045	Bacteroides fragilis	12 Months	X615	0
MS00045	Bacteroides fragilis	12 Months	X624	0.0758899395798689
MS00045	Bacteroides fragilis	12 Months	X633	0
MS00045	Bacteroides fragilis	12 Months	X637	0
MS00045	Bacteroides fragilis	12 Months	X78	0.00641438672696555
MS00045	Bacteroides fragilis	12 Months	X87	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X105	0.0274778326758722
MS00052	Bacteroides thetaiotaomicron	12 Months	X10	0.00587927520744695
MS00052	Bacteroides thetaiotaomicron	12 Months	X128	0.0248602976079531
MS00052	Bacteroides thetaiotaomicron	12 Months	X12	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X130	0.0747781485111314
MS00052	Bacteroides thetaiotaomicron	12 Months	X133	0.0068033067966229
MS00052	Bacteroides thetaiotaomicron	12 Months	X137	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X150	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X157	0.0824329979392767
MS00052	Bacteroides thetaiotaomicron	12 Months	X172	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X180	0
MS00052	Bacteroides thetaiotaomicron	12 Months	X181	0.000547579760516226
MS00052	Bacteroides thetaiotaomicron	12 Months	X184	0.0016359045082103
MS00052	Bacteroides thetaiotaomicron	12 Months	X201	0.0334363667872223
MS00052	Bacteroides thetaiotaomicron	12 Months	X229	0
