X105_4M	X10_4M	X128_4M	X12_4M	X130_4M	X133_4M	X137_4M	X150_4M	X157_4M	X172_4M	X180_4M	X181_4M	X184_4M	X201_4M	X229_4M	X238_4M	X240_4M	X256_4M	X258_4M	X263_4M	X265_4M	X268_4M	X26_4M	X272_4M	X274_4M	X275_4M	X276_4M	X281_4M	X282_4M	X332_4M	X335_4M	X338_4M	X341_4M	X343_4M	X350_4M	X367_4M	X377_4M	X383_4M	X385_4M	X397_4M	X39_4M	X42_4M	X45_4M	X51_4M	X521_4M	X526_4M	X527_4M	X536_4M	X544_4M	X549_4M	X560_4M	X565_4M	X567_4M	X572_4M	X582_4M	X585_4M	X587_4M	X589_4M	X590_4M	X591_4M	X599_4M	X608_4M	X615_4M	X624_4M	X633_4M	X637_4M	X78_4M	X87_4M
MN00001	0	0	0	0.0367824897340317	0	0	0	0	0	0.00014188231919037	0	0.00613926183089343	0	0	0	0.00211170487215679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00030784323959862	0.000899170110798223	0	0	0.0001081119632871	0	0	0	0	0	0	0.000684068571198189	0	0	0	0	0	0	0	0.000312093218837411	0	0	0.000200213010412445	0	0	0	0	0	0	0	0	0
MN00002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0338354835794671	0	0	0	2.70789578608593e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000385905927948809	0	0	0	0.00368739602167421	0.000139523795723053	0	0	0	0
MN00003	0	0	0	0	0	0	0	0	0	6.01348982196826e-05	0	0	0	0	0.000169739794901918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183810834571513	0	0	0	0	0.00204289593541615	0	0	0	0	0	0.00064692452099908	0.00375078810408836	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011334016578713	0	0	0	0	8.58504582123021e-05
MN00004	0	0	0.000479012901051067	0.00303244888482784	0	0.00022339983441892	0	0	0	0	0	0	0.00336089356249472	0	0	0	0.00108758670691529	0	0	0.000890084241066507	0	0.0639195092400821	0	0.00311428490351216	0.00199813363678053	0	0.00167538925798225	0.00308179412938959	0	0	0.0472214145476404	0	0.00751323474244108	0	0	0	0.00439714715953772	0	0	0	0.00242152079259759	0.000112827959637116	0.410934548640514	5.62198548938705e-05	0.00200201635866652	0	0	0.00205246100182133	0	0	0.2167464536448	0	0	0	0	0	0	0	0.00150802468191619	0.000198008750878324	0	0	0	0.0288808690600131	0.00072684876474433	0	0.000390208308924686	0
MN00005	0	0	0	0	0	0.000111462140832378	0	0	2.2757509043506e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120759440147466	0	0.000401409345109452	0.00108257304880222	0	0.000130145153084199	0.00521197315434478	0	0	0	0	0	0	0	0.00197959920390084	0.000222872694895423	0.000484239115705827	5.30983448526522e-05	0	0	7.61609710555141e-05	0	0	0	0.000670015824641732	0	0.000205556527669022	0	0	0.0103130940533513	0	0	3.42862255716131e-05	0	0	0.00089136293971836	0	0	0	0	0
MN00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000268823088576519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0266684959172868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09296389377777e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00009	0	0	0	0	0.225188327508594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000225585566599039	0	0	0	0	0	0	0.0019580012424924	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000664871334685017	0	0	0	0	0	0	0	0	0	0	0	0	0.000742811846997389	0	0	0	0	0.00602710861537589	0.0523678083841432	0	0	0	0	0	0	0	0
MN00010	0	0	0.00126947951442746	0	0	0	0.0169301807178187	0	0	0	0.000103783343108288	0.000487059063768806	0.000112732497335947	0	0	0	0	0	0	9.829206070686e-05	0	0	0	0	0	0	0	0	0	5.88299299224618e-05	0	0	0	0	0	0	0.000115025647635474	4.71388963054556e-05	0	0	0	0	0.000370877100459573	0	0.000146250148749154	0	0	0.000889022278490339	0	0	0.000586552936609887	2.69648391521921e-05	4.90515468781443e-05	0	0	0.000691157379389212	0	0.000615003734814438	6.14391400483526e-05	0	0	0.000129794298602394	0	0	0	0	0.000318953487729029	0
MN00011	0	2.07404482295255e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01857119471913e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.02113246456833e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.74623782005538e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000153767781817701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000129737177053227	0	0	0	0	0	0	0	0	0	0	0	0
MN00013	0	0	0.000186434036463427	0	0	0	0	0	0	0	0	9.71800863441562e-05	0.000629262959664162	0	0	0	0	0	0	0	0	0	0	3.14573133369506e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57155504561651e-05	0.000202640621935698	0.00115769483706671	0	0	0.000205907276176373	0	0	0.00203255236426801	0	0	0	0	5.42755846277168e-05	0	0	0.000272363207281979	0	0	0	0	0	0	0	0.00832301909109248	0
MN00014	2.14193249220234e-05	0	7.35210034350983e-05	0	0	0	0	0.0294876941923227	0	0	0	0	0.00016418799184959	0.000575786566554596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0140190542264066	0	0	0.0319605550353746	0	0	0.000870885455756228	0	0	0	0	0	0	0	0	0.0303286450330625	0.00211365299550052	0	0	0	8.21435145113691e-05	0	0	0	0.0335093717727377	0	0.0457279505101569	0.00010245820039612	0	0	0	0.000153407796559289	0	0	0	0	0	0.00210617147869032
MN00015	2.2037098879037e-05	2.37807538136919e-05	0	0	0	0	3.1768533737311e-05	0	0	0	0	0	0	0	0	0	0	1.81979367784583e-05	0	0	0	1.49928945237987e-05	0	0	0	0	0	0	1.9122852169201e-05	0	0	0.000894145425151254	0	0	0	0	0	0	0	0	0	0.00277737171206069	0	1.31185884998381e-05	0	0	0	1.6660362078105e-05	0	5.93485531840573e-05	0	0	0	0	0	0	2.51731651534946e-05	1.09460292993383e-05	0.000101000450057709	0	0	0	0	0	0	0	0	0
MN00016	0	0	0	0	0	0	0	0	0	0	0	0	0.000365436873568243	0	0	0	0	0	0	0	0	0	0	0	7.5629510406866e-05	0	0.010019985269224	0.0436571232223951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0195565371351058	5.8542801058982e-05	0	0	0	0	2.67967603506911e-05	0	0	0
MN00017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00054497680966215	0	0	0	0	0	0	0	0	0	0	0.000520452668719484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00018	0	0	0	0	0	0	0	0	0	0	0	0	4.76331678816658e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171719351564599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00019	0	0	0	0	0	0	0	0	0	0	0	0	0.00352652385083192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0952996944235328	0	0	0	0	0	0	0	0	0	0	0	0.0204553718284415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01649990992135	0
MN00020	6.16911116891657e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000283715443334234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.32960799365529e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00787061398046441	0	0	0	0.000166204875649656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00023	0.0188051730508535	0	0	0	0	0.00155326891387221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106663564189736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000149012726598838	0
MN00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123495238779464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0481970810373639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00026	0.000147698123666553	0	0	8.1805482616097e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000197537881156613	0	0.000121450807901988	0	0	0	0	0	0	0	0	0	0	0	3.1214248418487e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010201896371648	0	0	0	0	0	0	0	0	0	0	0.000478547577283654	0	0	0	0
