X105_M	X10_M	X128_M	X12_M	X130_M	X133_M	X137_M	X150_M	X157_M	X172_M	X180_M	X181_M	X184_M	X201_M	X229_M	X238_M	X240_M	X256_M	X258_M	X263_M	X265_M	X268_M	X26_M	X272_M	X274_M	X275_M	X276_M	X281_M	X282_M	X332_M	X335_M	X338_M	X341_M	X343_M	X350_M	X367_M	X377_M	X383_M	X385_M	X397_M	X39_M	X42_M	X45_M	X51_M	X521_M	X526_M	X527_M	X536_M	X544_M	X549_M	X560_M	X565_M	X567_M	X572_M	X582_M	X585_M	X587_M	X589_M	X590_M	X591_M	X599_M	X608_M	X615_M	X624_M	X633_M	X637_M	X78_M	X87_M
MN00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9143379081117e-05	0	0	0	0	0.000102339197779417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21086087277403e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09266541253545e-05	0	1.8471222246006e-05	0	0	0	0	0	0	0.000168164615397037	0
MN00002	0	0.0501424892500799	1.77486847382094e-05	0	0.000344844867778746	0	0	0.000383971815939054	0.000178154066618342	0.000215733439060418	0	0.000462323606001062	0	0	0.000261524168260471	0.0130594290406127	0	0.000184783507589068	0.000114887434200725	0	0	2.29603213754427e-05	0	7.76289962117514e-05	0.000453894655833162	0.000272680187878635	0	0.000831625261211489	0	0	0	2.83617046876733e-05	9.66444512357193e-05	0.00310000953396613	0.00026305629866825	0.000118047174404616	0.000327560762408906	0.00135278037599984	0	0.000133461199261945	0	0.00198692079681207	0	0	2.78787116581133e-05	7.48605410101314e-05	0.000241742757827335	0	0.00194602281822293	0	0	0.0173139434012282	0.0024267687637966	0.0639946810298546	2.77555470028531e-05	0.000497770438482224	0	0.0229081723958283	0.000409762813888155	0	0.000103753791850371	0.000159128058421054	0.0565935172824708	0.0016946937478881	9.32817666490763e-05	0	0.0219295911707252	0.000118437110438673
MN00003	0	7.82364681261214e-05	0	0.000162945739024253	1.19601742242268e-05	0	1.5302380810218e-05	3.00580133441805e-05	1.71997982609704e-05	1.14826972294305e-05	0	0.000257011964629821	0	5.92265675452917e-05	0	0.000828430399374583	6.18022234780654e-05	0.000743990914640527	4.13806971103751e-05	3.92579996176123e-05	0	0	0	0	0	0.000110937465464285	0	0.000154582074668832	0	1.56278700195764e-05	0	0	0	3.49821158704339e-05	0	0	0.000741425955585794	0	0	0	0	0	0	2.03649763355958e-05	3.9426168983006e-05	0	0	0	0	0	0	0	0	9.14263119373486e-05	1.49969219981675e-05	0.00041871258316516	0	0	0	0	0	0.000133494426988678	2.98411110891825e-05	2.31293071920763e-05	0	1.22424817042194e-05	9.23520189542313e-05	4.57699620846081e-05
MN00004	0.000565376262724298	0	0.000442584001664428	0.00160106182623829	0.00172869062731071	0.000339949872694535	0.000198282386172102	4.48895027913642e-05	0.00159104110573972	0.000344374564610921	0.00221341171466171	0	0.00644102820858606	3.61625289868448e-05	0.00322972959033436	0.00118012179978075	0.00576481423212111	0.0423240146368682	0.00182588309056744	0.00012129145410059	0.00264111340153255	0.028643440865675	0.00077207037080489	0.00229569972695955	0.000606034293682459	0.00248699158390054	0.0126173280918106	0.0109750152850331	0.00281054282813644	0.0463044584205869	0.00137186839232302	0.000928190728592354	0.00215978821060599	0.000210065669467595	0.00210928997081663	0.000219853991508361	0.00225164991023715	0.000664977780303668	0.000260000316247573	0.00337992650135922	0.000476243237847112	0.0221007078639273	0.0417144819981973	0.00109871222120062	0.00346355395643033	0.00555936007754786	0	0.00107371597836523	0.00629673317405585	0.0010662771382173	0.000416078309295206	0.00100712149327915	0.00320611951061991	0	0.000293324417716424	0.00212009935737341	0.00136375369611792	0.00147472015766128	0.00364211561638796	0.00240901180347889	0.000565116213242408	0.00191301760997858	0.000798716102575121	0.000232033871403568	0.000833875579874006	0.000375421912470771	0.000596800364139068	0.000486927475409666
MN00005	0.000128340353072886	0	0.000314777747007043	0.0028731407876334	0.00227688230819638	0.000454632727043897	0.00044901701885275	0.00023236022881393	0.0482139798263083	0.000694688559404195	0.000463269046378098	0.00312317970257984	0.0126834688849257	0.000421316931020786	0.000206352259797483	0.000256073810007773	0.000244518901881894	0.00359026354016634	0.000342110867377904	0.000199143452427548	0.00155782294629238	7.56086707873531e-05	0	0.00184261031324335	0.00010128181469904	5.05983167374151e-05	0.00156253477142343	0.000498471517060257	0.000961180496814325	0.00342376707713511	0.00406865196554423	0.00244842524811192	0.00414316341036089	0.052186680495853	0.0214649759766967	0.000272069963897021	0.000277926142373334	0.000830649354961112	9.21853899574842e-05	0.00040043497895869	2.49728034219484e-05	0.00268233013531784	0.00018870376211505	0.00590269579844512	0.000220616775882159	0.00510953269106919	0.00237740989185188	0.00242978572897052	0.00995066538879082	0	0.00480990516574498	0.00108048307895219	0.00163391436441505	0.00974495616741628	8.3886143257804e-05	0.00220955548538361	0.000460374111730797	0.00241266663890732	0.00190010169627485	0.00831329271082901	0.000453066605019226	0.000572215094250506	0.00312832307488698	0.000646006599018602	0	0	0.00164852402978454	0.00147470708761515
MN00006	0	0	0	0.000215444127491447	0.000177929719697659	0	6.43387814905849e-05	0	0	5.74950845285541e-05	0	0	0.000158708918022516	0	0	0	0	0.000435684998051634	0	0	0	2.94287437835656e-05	0	0	0	0	0	5.47743974457918e-05	0.000150924807295506	0.000279496130224188	0	3.97438298933956e-05	0	9.45071769727677e-05	4.48082469468073e-05	0	0.000842034200982561	8.08374611924973e-05	0	9.94263588830198e-05	0	0.00288689897777913	0	0.000110889899481117	0	0.000347304863204933	0.0197938474786661	4.1325199874407e-05	0.00018855862023885	0	6.63736549144798e-05	0.000131407027235633	0	0.000469134615110067	9.04681535462261e-05	0.000424265330964887	0	0	0.000148605224484128	0.00156518438200431	0	0.000545791002459312	0	0	0	0	0	0
MN00007	0	0	0	0	0	0.00258451315920818	0	0	0	0	0.0339311149974331	0	0	0.0253863042025701	0	0	0	0	0	0.0148758989150733	0	0	0	0	0	0	0	0	0	0	0.00181575383761059	0	0	0	0	0	0	0	0	0.0053084642066756	0.00529069696602942	0	0.0461912663532482	0	0	0	0	0	0.000128046005161536	0.00665765809796186	0	0	0	0	0.00460757874940036	0	0.0197913865853551	0	0.0110159080157166	0	0.00374120238563358	0	0	0	0.00244981443087394	0.140045523678041	0	0.000433217066759824
MN00008	4.60076244099434e-05	0.000115997298830841	0.000158920637198498	0.000365603183139657	8.19278957925512e-05	0.000311998750901281	6.51784207621844e-05	7.47546560054729e-05	0.000106149408916523	0.000174244825217361	0.000258239579496696	0.000136830701287199	0.00010765421692701	0.000223777256328163	0.000106125889553114	8.42821228394822e-05	4.07704139626336e-05	7.06605173157672e-05	0.00012581230444276	0.000129933124214873	0.000179203237770809	5.34482963423768e-05	4.56046990736782e-05	7.38617175008548e-05	0.000200090571398801	9.96384686215659e-05	9.64697685650617e-05	9.09121549269926e-05	0.000127442832878996	9.49536853060554e-05	0.000196728617455946	0.00012126883007364	5.50515754737891e-05	7.82247205820023e-05	4.33736841353584e-05	0.000104891847232173	9.72366579118175e-05	0.000118434609719767	0	0.000194491253986244	0.000266897377122014	2.24332623971531e-05	0.000210943531799715	4.47352323353842e-05	5.03344618021477e-05	4.53356355752031e-05	2.71116772049638e-05	9.49611187355687e-05	6.28343195170375e-05	8.84554775401531e-05	6.75241755208888e-05	0.000105440499260958	0.000224968439159554	5.17609585348572e-05	0.000130492460854049	9.32380376511969e-05	0.00195002594143082	3.68028627958402e-05	0.000113887235963342	7.7664487963634e-05	5.75636275777314e-05	3.38842811955086e-05	0.000139756267219491	5.30076305781545e-05	0.000140126211582078	5.2279281656368e-05	0	9.25784843236881e-05
MN00009	0.00052024076013829	0	0	0.000450323724259117	0.00240518455492941	0	1.79374088878905e-05	0.000323183897645657	0.00122683564737606	0	0	0	0.000115883447903074	0	6.59570579183511e-05	0.000157166383362062	0	0.000879050953536683	0.000121483266002405	1.38588739221413e-05	0	0.000209649823072506	0	0	0	0.000193092822889171	0.000201418637204345	0.000218730841896318	0.000401508613337252	0	5.42926784220534e-05	0.000212214201421307	2.55038407474417e-05	0	0.000138036417792439	0	0	0.000523085132484465	0	0	1.95395087629013e-05	0.000122179431255111	0	0	0.000821291837914837	0	0	0.000293470915011303	0.000596752604654721	0.000177731181476247	0	0	0.00124535837878908	0.000256990659290155	0	6.47104269471944e-05	0.000422477494876634	0	0.000296657081313755	0.00406185112341322	0	0.000577265802336077	0.000147946139880319	0.000165957716933019	0	0	4.36212195200781e-05	0
MN00010	0	5.84939648322102e-05	0	0.000165010476395602	0.000213682246456059	0	3.61081535737589e-05	0.000163777128843896	0	0	8.19312741264498e-05	5.79025116788907e-05	0	3.82687006092549e-05	0.000139236094952152	4.09234936229758e-05	0	0.000135524675984564	0	0	0	0	0.000527735019888872	0	0	4.14975879701032e-05	0.000186995355852963	0	0.000215452741695445	0.00107048006763588	8.87815660536305e-05	4.49029485327772e-05	7.50233799819977e-05	1.32926823291911e-05	0	0.000408554240839381	0.000155962649984543	0	0	0	1.29604735296261e-05	7.8531037767248e-06	0	0	3.56859082695187e-05	3.93366576770967e-05	0	0	4.47754717823708e-05	0	1.57315148176029e-05	0	0.00179923046921504	7.55103691608683e-05	0	5.84659889965873e-05	0	0	0	2.82854936613891e-05	7.85828888963096e-05	0.0019794501992511	0	0	0	0	1.76044140063876e-05	0
