,PC1 (78.4%),PC2 (7.7%)
Lumen_BIOMASS_Bacteroides theta_4m_1,0.42042781437954657,0.5055881609881695
Lumen_BIOMASS_Bacteroides fragilis_4m_1,0.9135412762499778,0.20108444708023854
Lumen_BIOMASS_Bifido longum_4m_1,1.1613060889986735,-0.14897558324836274
Lumen_BIOMASS_Bifido breve_4m_1,0.6852665093732668,0.2581112151922333
Lumen_BIOMASS_Bifido adolescentis_4m_1,1.3482026848873374,-0.27517525270102633
Lumen_BIOMASS_Bacteroides theta_4m_2,0.1768057202420497,0.4349243692987624
Lumen_BIOMASS_Bacteroides fragilis_4m_2,0.36354050719982817,0.4518000427597595
Lumen_BIOMASS_Bifido longum_4m_2,0.4372500149437143,0.2178852785569372
Lumen_BIOMASS_Bifido breve_4m_2,0.3248362724499232,0.512783232804467
Lumen_BIOMASS_Bifido adolescentis_4m_2,0.41797115993333894,0.5309625102367964
Lumen_BIOMASS_Bacteroides theta_4m_3,0.3312231579059447,0.402048281333379
Lumen_BIOMASS_Bacteroides fragilis_4m_3,0.5629048281429528,0.3869067699817428
Lumen_BIOMASS_Bifido longum_4m_3,0.5676148790056726,0.45028096198762824
Lumen_BIOMASS_Bifido breve_4m_3,0.5376038049180543,0.40469863637266895
Lumen_BIOMASS_Bifido adolescentis_4m_3,0.6165392723587416,0.41525749909519194
Lumen_BIOMASS_Bacteroides theta_4m_4,0.5530055602014282,0.42574989991174583
Lumen_BIOMASS_Bacteroides fragilis_4m_4,0.8902159447436317,0.39365084462747585
Lumen_BIOMASS_Bifido longum_4m_4,0.8967045470210374,0.38858157901793444
Lumen_BIOMASS_Bifido breve_4m_4,0.8791157748823295,0.38967049869542825
Lumen_BIOMASS_Bifido adolescentis_4m_4,0.8882010117655038,0.3914936978996961
Mucosa_BIOMASS_Bacteroides theta_4m_1,-0.8630723266768388,-0.029005377305380265
Mucosa_BIOMASS_Bacteroides fragilis_4m_1,-0.9272721612259462,-0.03709532568136555
Mucosa_BIOMASS_Bifido longum_4m_1,-0.937922955856082,-0.03159637398714012
Mucosa_BIOMASS_Bifido breve_4m_1,-0.9240513511101891,-0.046079533119968076
Mucosa_BIOMASS_Bifido adolescentis_4m_1,-0.9293706330248835,-0.029350095840642926
Mucosa_BIOMASS_Bacteroides theta_4m_2,-1.0357704318071979,-0.08917730790639
Mucosa_BIOMASS_Bacteroides fragilis_4m_2,-0.9919048131122852,-0.11342306217909089
Mucosa_BIOMASS_Bifido longum_4m_2,-1.0078732534175636,-0.08006369167177894
Mucosa_BIOMASS_Bifido breve_4m_2,-1.0286668234264533,-0.08767458809143135
Mucosa_BIOMASS_Bifido adolescentis_4m_2,-1.02532916439926,-0.0939841898798295
Mucosa_BIOMASS_Bacteroides theta_4m_3,-1.1059236267253976,-0.15801891188290607
Mucosa_BIOMASS_Bacteroides fragilis_4m_3,-1.0447143845749607,-0.13650279969976464
Mucosa_BIOMASS_Bifido longum_4m_3,-1.0609267875369075,-0.13646876412070374
Mucosa_BIOMASS_Bifido breve_4m_3,-1.0881623411620898,-0.13928438926520437
Mucosa_BIOMASS_Bifido adolescentis_4m_3,-1.0883742376199934,-0.13977873723577655
Mucosa_BIOMASS_Bacteroides theta_4m_4,-0.9016125145305653,-0.11420808662296629
Mucosa_BIOMASS_Bacteroides fragilis_4m_4,-0.9674509276138736,-0.1368760760622795
Mucosa_BIOMASS_Bifido longum_4m_4,-0.9898081081249301,-0.13280621612788268
Mucosa_BIOMASS_Bifido breve_4m_4,-1.0118937548020788,-0.14359031910280726
Mucosa_BIOMASS_Bifido adolescentis_4m_4,-0.9935519459458607,-0.1516525898380619
Rectum_BIOMASS_Bacteroides theta_4m_1,1.4515154965815344,-0.40384137382774804
Rectum_BIOMASS_Bacteroides fragilis_4m_1,1.47851348476659,-0.3966553250912858
Rectum_BIOMASS_Bifido longum_4m_1,1.3103370329666513,-0.4593096101368254
Rectum_BIOMASS_Bifido breve_4m_1,1.4901755124461902,-0.38659183584044227
Rectum_BIOMASS_Bifido adolescentis_4m_1,1.4795079208011168,-0.38340895999427516
Lumen_BIOMASS_Bacteroides theta_12m_1,0.6880100724182638,-0.2764776120332017
Lumen_BIOMASS_Bacteroides fragilis_12m_1,0.6727441972591429,-0.2762312282026104
Lumen_BIOMASS_Bifido longum_12m_1,1.013479118808015,-0.3050881376586927
Lumen_BIOMASS_Bifido breve_12m_1,0.700861348884734,-0.3127866939629333
Lumen_BIOMASS_Bifido adolescentis_12m_1,0.7420046104568652,-0.22306632012052682
Lumen_BIOMASS_Eubacterium hallii_12m_1,0.008295180611978785,0.3800905968903708
Lumen_BIOMASS_Faecalibacterium prausnitzii_12m_1,1.3981026989759178,-0.3448694194614372
Lumen_BIOMASS_Roseburia intestinalis_12m_1,1.388522143090155,-0.352570320120731
Lumen_BIOMASS_Bacteroides theta_12m_2,-0.3034869705287392,0.010955864485911059
Lumen_BIOMASS_Bacteroides fragilis_12m_2,-0.23127632126267192,-0.01636193820031019
Lumen_BIOMASS_Bifido longum_12m_2,0.20753888850762667,-0.0317347606786523
Lumen_BIOMASS_Bifido breve_12m_2,-0.16835712612912754,0.00731316105007405
Lumen_BIOMASS_Bifido adolescentis_12m_2,0.07334463038843854,-0.15686587562976984
Lumen_BIOMASS_Eubacterium hallii_12m_2,-0.08008182442147996,0.04385727465515512
Lumen_BIOMASS_Faecalibacterium prausnitzii_12m_2,0.6390352035926273,-0.34889622313716584
