ID	Sample	Time
30301	156	0
30301	157	3
30301	158	7
30301	159	14
30303	160	0
30303	161	1
30303	162	3
30303	163	7
30303	164	14
30302	165	0
30302	166	1
30302	167	3
30302	168	7
30302	169	14
30305	172	0
30305	173	1
30305	174	3
30305	175	7
30305	176	14
30309	177	0
30309	178	1
30309	179	3
30309	180	7
30309	181	14
30310	182	0
30310	183	1
30310	184	3
30310	185	7
30310	186	14
30312	187	0
30312	188	1
30312	189	3
30312	190	7
30312	191	14
30314	192	0
30314	193	3
30314	194	7
30314	195	14
30313	196	0
30313	197	1
30313	198	3
30313	199	7
30313	200	14
30316	201	0
30316	202	1
30316	203	3
30316	204	7
30316	205	14
