strain	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205
Bifidobacterium breve UCC2003	3512	175	93	41	5254	2838	1071	11	1	5249	5440	731	688	693	8323	1503	10353	3960	261	83	136	3815	840	314	25	7	0	0	0	0	0	5669	4315	6593	1013	287	4652	1112	991	392	490	249	928	15	2	11299	2816	574	4	0
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	28502	1637	871	384	47906	26576	10041	498	106	62517	66339	14651	13255	15371	67525	11855	73298	30023	1976	784	1011	33316	7238	2645	360	242	268	197	101	152	207	44421	33924	51572	4207	1679	45499	11116	10173	3610	4383	2482	8945	389	249	113706	26005	6270	389	239
Faecalibacterium prausnitzii A2-165	1475101	828705	725558	977683	216928	258356	125097	190157	144775	379234	179963	202110	107173	147217	35597	8440	25259	52599	66597	65580	70735	1555405	168956	131922	322001	58502	71890	50766	9744	36139	54832	129123	112288	107802	65071	53973	237790	23958	55547	33226	453967	353459	479213	241063	435883	77610	181171	227240	88605	67573
Faecalibacterium prausnitzii SL3/3	143977	63005	66838	88674	410462	733993	261630	381833	130516	935038	581203	952906	809481	1016642	37570	5288	24806	54336	67578	71142	77092	240298	23754	45723	231393	137227	64724	45415	5186	27755	47077	404469	347557	340177	157938	181867	107886	31750	166937	109929	89137	57643	84737	69818	97089	116127	784693	561642	552705	169998
Faecalibacterium prausnitzii L2-6	1168245	512152	644630	920152	178288	264357	81967	143093	100908	441918	221051	236095	138198	306938	168017	14345	71360	306326	472418	725624	880695	301553	37337	42139	244321	40143	60809	43123	8337	30182	46967	181155	167664	138671	189893	116543	28903	12422	13444	11646	223586	101131	181915	128676	139133	67372	72085	54978	83355	57759
Bifidobacterium adolescentis L2-32	10743	34	24	49	329682	277148	56730	1085	293	73090	32213	280	43	52	8866	1382	369845	83117	3547	17	10	107755	8318	1863	72	59	2	2	1	2	0	169378	136999	205223	802	68	1422766	544941	296	51	59575	20327	138140	380	11	599	209	61	0	2
Faecalibacterium cf. prausnitzii KLE1255	262039	95512	113612	155748	206927	305939	94075	112641	79403	352363	158298	147462	77468	130646	480736	15668	39321	135745	122997	103597	110133	329935	35620	49961	106464	56648	430942	293972	14600	158617	298213	153875	147817	128184	61658	49955	36456	8278	17156	13446	285298	127812	338021	76124	105794	93970	123924	82677	115928	62176
Roseburia intestinalis XB6B4	545435	198587	411102	215603	85573	91280	54887	56788	50014	169824	38214	170822	32396	380844	18756	8467	430207	288559	128170	368037	45784	49185	28502	40967	32131	51015	722654	441000	160631	62576	148839	43013	80008	32312	91110	69954	149362	75369	160759	72519	86541	27600	27881	42257	51245	59161	49740	36858	53955	118144
Bacteroides fragilis 3_1_12	105671	156728	130853	134488	50448	38531	58214	34263	35643	29282	39138	38261	61299	34151	140765	61152	56681	44275	49947	51788	46122	74959	261329	197117	97977	84834	36239	38856	73873	47402	57989	10465	14964	23169	21583	16363	49854	46257	53956	56962	30222	44585	30328	24358	36986	25081	145844	66677	70574	48536
Eubacterium hallii DSM 3353	279717	203128	239139	236482	338205	248695	205201	161225	128013	332030	261029	181496	160377	212766	11625	9033	426255	540635	225988	254377	488694	228389	136729	305252	166666	189873	305914	410207	207986	250335	360658	237922	151639	153794	115320	112668	1139172	1609692	2363827	1962839	193867	264150	524550	111969	127011	35270	103050	162575	47826	45435
