OUT	Genus	Species	Phylum
MS00052	Bacteroides	Bacteroides_thetaiotaomicron	Bacteroidetes
MS00045	Bacteroides	Bacteroides_fragilis1	Bacteroidetes
MS00054	Bacteroides	Bacteroides_fragilis2	Bacteroidetes
MS00059	Bifidobacterium	Bifidobacterium_longum	Actinobacteria
MS00056	Bifidobacterium	Bifidobacterium_breve	Actinobacteria
MS00061	Bifidobacterium	Bifidobacterium_adolescentis	Actinobacteria
MS00159	Eubacterium	Eubacterium_hallii	Firmicutes
MS00167	Faecalibacterium	Faecalibacterium_cf	Firmicutes
MS00168	Faecalibacterium	Faecalibacterium_prausnitzii1	Firmicutes
MS00169	Faecalibacterium	Faecalibacterium_prausnitzii2	Firmicutes
MS00300	Roseburia	Roseburia_intestinalis	Firmicutes
