X105_B	X10_B	X128_B	X12_B	X130_B	X133_B	X137_B	X150_B	X157_B	X172_B	X180_B	X181_B	X184_B	X201_B	X229_B	X238_B	X240_B	X256_B	X258_B	X263_B	X265_B	X268_B	X26_B	X272_B	X274_B	X275_B	X276_B	X281_B	X282_B	X332_B	X335_B	X338_B	X341_B	X343_B	X350_B	X367_B	X377_B	X383_B	X385_B	X397_B	X39_B	X42_B	X45_B	X51_B	X521_B	X526_B	X527_B	X536_B	X544_B	X549_B	X560_B	X565_B	X567_B	X572_B	X582_B	X585_B	X587_B	X589_B	X590_B	X591_B	X599_B	X608_B	X615_B	X624_B	X633_B	X637_B	X78_B	X87_B	X105_4M	X10_4M	X128_4M	X12_4M	X130_4M	X133_4M	X137_4M	X150_4M	X157_4M	X172_4M	X180_4M	X181_4M	X184_4M	X201_4M	X229_4M	X238_4M	X240_4M	X256_4M	X258_4M	X263_4M	X265_4M	X268_4M	X26_4M	X272_4M	X274_4M	X275_4M	X276_4M	X281_4M	X282_4M	X332_4M	X335_4M	X338_4M	X341_4M	X343_4M	X350_4M	X367_4M	X377_4M	X383_4M	X385_4M	X397_4M	X39_4M	X42_4M	X45_4M	X51_4M	X521_4M	X526_4M	X527_4M	X536_4M	X544_4M	X549_4M	X560_4M	X565_4M	X567_4M	X572_4M	X582_4M	X585_4M	X587_4M	X589_4M	X590_4M	X591_4M	X599_4M	X608_4M	X615_4M	X624_4M	X633_4M	X637_4M	X78_4M	X87_4M	X105_12M	X10_12M	X128_12M	X12_12M	X130_12M	X133_12M	X137_12M	X150_12M	X157_12M	X172_12M	X180_12M	X181_12M	X184_12M	X201_12M	X229_12M	X238_12M	X240_12M	X256_12M	X258_12M	X263_12M	X265_12M	X268_12M	X26_12M	X272_12M	X274_12M	X275_12M	X276_12M	X281_12M	X282_12M	X332_12M	X335_12M	X338_12M	X341_12M	X343_12M	X350_12M	X367_12M	X377_12M	X383_12M	X385_12M	X397_12M	X39_12M	X42_12M	X45_12M	X51_12M	X521_12M	X526_12M	X527_12M	X536_12M	X544_12M	X549_12M	X560_12M	X565_12M	X567_12M	X572_12M	X582_12M	X585_12M	X587_12M	X589_12M	X590_12M	X591_12M	X599_12M	X608_12M	X615_12M	X624_12M	X633_12M	X637_12M	X78_12M	X87_12M	X105_M	X10_M	X128_M	X12_M	X130_M	X133_M	X137_M	X150_M	X157_M	X172_M	X180_M	X181_M	X184_M	X201_M	X229_M	X238_M	X240_M	X256_M	X258_M	X263_M	X265_M	X268_M	X26_M	X272_M	X274_M	X275_M	X276_M	X281_M	X282_M	X332_M	X335_M	X338_M	X341_M	X343_M	X350_M	X367_M	X377_M	X383_M	X385_M	X397_M	X39_M	X42_M	X45_M	X51_M	X521_M	X526_M	X527_M	X536_M	X544_M	X549_M	X560_M	X565_M	X567_M	X572_M	X582_M	X585_M	X587_M	X589_M	X590_M	X591_M	X599_M	X608_M	X615_M	X624_M	X633_M	X637_M	X78_M	X87_M
MN00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000861352193016894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90608573211548e-05	0	0	0	0	0	0	0	6.07480436160644e-05	0	0	0	0	0	9.85524813262725e-05	0	0	0	0.0367824897340317	0	0	0	0	0	0.00014188231919037	0	0.00613926183089343	0	0	0	0.00211170487215679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00030784323959862	0.000899170110798223	0	0	0.0001081119632871	0	0	0	0	0	0	0.000684068571198189	0	0	0	0	0	0	0	0.000312093218837411	0	0	0.000200213010412445	0	0	0	0	0	0	0	0	0	6.36893139941047e-05	2.53370954796844e-05	0	0	6.18674422299046e-05	0	1.14787976843866e-05	1.42919033925091e-05	0	0.000191001378927203	0	0	0	4.20618145734809e-05	7.14139732715786e-05	0.00128207725355075	0.000467026903910032	0	0.000172347882638825	0.000111818042366009	0.000472315585843197	3.84135632764039e-05	8.86263241643796e-05	5.19777654659616e-05	0	8.73991634288991e-05	0	0	0	1.38493767061932e-05	0	0	0	0	0	0	0	0	5.03946140266013e-05	0.000161631254798262	0	0	0.00021886875634959	0	0	0	0	0	0	4.72475040926281e-05	0.000203068125977665	4.84669198293798e-05	0.000478204095256751	0	5.1054924502259e-05	0	0	0	7.58581045394805e-05	1.5880894931182e-05	0.00025427018655713	0.00020587035866393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9143379081117e-05	0	0	0	0	0.000102339197779417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21086087277403e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09266541253545e-05	0	1.8471222246006e-05	0	0	0	0	0	0	0.000168164615397037	0
MN00002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.10840932802479e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000524605429293127	2.30154145616329e-05	0	0	0	0	0.000110837124686933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0338354835794671	0	0	0	2.70789578608593e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000385905927948809	0	0	0	0.00368739602167421	0.000139523795723053	0	0	0	0	0	0.000304342966571214	0.000344966214824217	0.000204411799943136	0.0132431800364804	0.00012507239004457	0	7.31145952965115e-05	0	0.000153027053352566	0.173669694976238	0.000506463532533531	0	0	0	0	0	0	0.00076209577999898	0.000100100060932105	0	0.000375210074720796	7.46084774455197e-05	0	0.000307787221467445	0	3.94079711296308e-05	0	0.000650270405714782	0	0	2.99623450813418e-05	0	1.90758890257519e-05	0.128522183033338	0	4.6845423735517e-05	0.0574741636733167	0	0	0	0.0744367393696124	0	0	0.0496892297115424	9.13536652330599e-05	0.035878904993975	0	0	0	0	0	0	0	0.111423651563489	0	0.000292181288823681	0	0.0783880583544497	0	0.000911967384277463	0	3.76203105945376e-05	0.0966462029429038	0.000521019913994884	0	0.002101967475573	2.60036765964251e-05	0	0.0501424892500799	1.77486847382094e-05	0	0.000344844867778746	0	0	0.000383971815939054	0.000178154066618342	0.000215733439060418	0	0.000462323606001062	0	0	0.000261524168260471	0.0130594290406127	0	0.000184783507589068	0.000114887434200725	0	0	2.29603213754427e-05	0	7.76289962117514e-05	0.000453894655833162	0.000272680187878635	0	0.000831625261211489	0	0	0	2.83617046876733e-05	9.66444512357193e-05	0.00310000953396613	0.00026305629866825	0.000118047174404616	0.000327560762408906	0.00135278037599984	0	0.000133461199261945	0	0.00198692079681207	0	0	2.78787116581133e-05	7.48605410101314e-05	0.000241742757827335	0	0.00194602281822293	0	0	0.0173139434012282	0.0024267687637966	0.0639946810298546	2.77555470028531e-05	0.000497770438482224	0	0.0229081723958283	0.000409762813888155	0	0.000103753791850371	0.000159128058421054	0.0565935172824708	0.0016946937478881	9.32817666490763e-05	0	0.0219295911707252	0.000118437110438673
MN00003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01348982196826e-05	0	0	0	0	0.000169739794901918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183810834571513	0	0	0	0	0.00204289593541615	0	0	0	0	0	0.00064692452099908	0.00375078810408836	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011334016578713	0	0	0	0	8.58504582123021e-05	0.000219384283329499	0	0	0.000183690541194891	0.000686772761213553	0.00023056130272139	0.000121943786287205	0.0233043600129548	0	0.000246775712696358	0.0110147341281723	0.000672195003330718	0	0	0	0	0	0.0182548044539055	0.00230422835632759	0	0	0	0.00055498901398365	4.12093722188415e-05	2.61390942113046e-05	0.000246568097756436	7.21609039468967e-05	5.4545698832483e-05	0.0265053892691684	0.000675093201539444	0	4.61839888289918e-05	0.000711475967273902	0.000510521343591967	0.000169569613338477	0.0011423107222269	7.46841240519975e-05	0.00115699038722406	0.00122598749800392	0.00109132677393206	3.92193530636804e-05	0.000398982706309355	0	0.000141963007249025	0.00671295787141897	0.014820074746493	0.000605164314738705	0.000286399124929586	3.57705196369979e-05	1.66527244825894e-05	0.00156263355701263	0.000268416405623579	0	0	0.000773498341045138	1.7335145196927e-05	0.00127991019852675	0	0.00161337900831874	0.000748155757668934	0	0	4.73261709269136e-05	0.00542060908620244	0	0.000329910951455754	0.000336909779958095	6.89162937684908e-05	0	7.82364681261214e-05	0	0.000162945739024253	1.19601742242268e-05	0	1.5302380810218e-05	3.00580133441805e-05	1.71997982609704e-05	1.14826972294305e-05	0	0.000257011964629821	0	5.92265675452917e-05	0	0.000828430399374583	6.18022234780654e-05	0.000743990914640527	4.13806971103751e-05	3.92579996176123e-05	0	0	0	0	0	0.000110937465464285	0	0.000154582074668832	0	1.56278700195764e-05	0	0	0	3.49821158704339e-05	0	0	0.000741425955585794	0	0	0	0	0	0	2.03649763355958e-05	3.9426168983006e-05	0	0	0	0	0	0	0	0	9.14263119373486e-05	1.49969219981675e-05	0.00041871258316516	0	0	0	0	0	0.000133494426988678	2.98411110891825e-05	2.31293071920763e-05	0	1.22424817042194e-05	9.23520189542313e-05	4.57699620846081e-05
MN00004	0	0	0.00188012204989435	0.00169418045609513	0	0	0	0	0	0	0	0	0.0121316335397948	0	0.000259026560086329	0	0	0	0.000403204056887226	0.000593803597110649	0.000653443850290997	0.0399429474358101	0	0.00176761376489611	0.000492964761515889	0.00614755008470664	0.0996161363212736	0.00228477044232425	0.00775222858123933	0.0317216073229103	0.00365557626426577	0	0.00529580529374483	0	0.00367385152901951	0	0.000682356526428943	0	0	0	0.00589785485615952	0.000837605691069359	0.711009899639627	0	8.15244102157793e-05	0	0	0	0	0	1.68076953633861e-05	0.00575722264488701	0.00285919446938917	0	0	0	0	0	0.0202651568591142	0.000621819429958876	0	0	0	0.00359308229445038	0.000377136511693377	0.00201199319267456	0	0	0	0	0.000479012901051067	0.00303244888482784	0	0.00022339983441892	0	0	0	0	0	0	0.00336089356249472	0	0	0	0.00108758670691529	0	0	0.000890084241066507	0	0.0639195092400821	0	0.00311428490351216	0.00199813363678053	0	0.00167538925798225	0.00308179412938959	0	0	0.0472214145476404	0	0.00751323474244108	0	0	0	0.00439714715953772	0	0	0	0.00242152079259759	0.000112827959637116	0.410934548640514	5.62198548938705e-05	0.00200201635866652	0	0	0.00205246100182133	0	0	0.2167464536448	0	0	0	0	0	0	0	0.00150802468191619	0.000198008750878324	0	0	0	0.0288808690600131	0.00072684876474433	0	0.000390208308924686	0	0.00204137921612216	0.00286635535240612	0.00185938596684541	0.00345895884560972	0	0.00118832519036015	0.0012633073390566	0	0.000209976389147096	0.00255944960985173	0	0	0.00231776524567369	0	0	0.000249225373088426	0	0.000266093014284787	0.0264057608879953	0.000227212548444249	0.052968534721243	0.0903434546435413	0.000205511352502993	0.000973770633212199	0.0003367779321501	2.70594330687619e-05	0.0226127307403581	0.0161611457158593	0.00318565121842895	0.00025305802148837	0.0721061473827504	0	0.00218181706292132	0	0.00288924054528999	0	0.00951127016561795	0.0035320234386365	0.00186148735598952	0.000346119327692144	0.000772800474910786	0.00192885506397397	0.134039511333876	0.0044292459561276	0.00730993443461752	0	0	0.00962996866844774	0.0145727279001501	0.000192462690324134	0.169606619353908	0	0.000445195904317342	0	0.000198611569610842	0.000190227825920261	0	0.00478669781367658	0	0	0	0	0	0.00280883961519257	0.00234822392157422	0.000363371182550781	0.00135715062451951	0.000893363438882549	0.000565376262724298	0	0.000442584001664428	0.00160106182623829	0.00172869062731071	0.000339949872694535	0.000198282386172102	4.48895027913642e-05	0.00159104110573972	0.000344374564610921	0.00221341171466171	0	0.00644102820858606	3.61625289868448e-05	0.00322972959033436	0.00118012179978075	0.00576481423212111	0.0423240146368682	0.00182588309056744	0.00012129145410059	0.00264111340153255	0.028643440865675	0.00077207037080489	0.00229569972695955	0.000606034293682459	0.00248699158390054	0.0126173280918106	0.0109750152850331	0.00281054282813644	0.0463044584205869	0.00137186839232302	0.000928190728592354	0.00215978821060599	0.000210065669467595	0.00210928997081663	0.000219853991508361	0.00225164991023715	0.000664977780303668	0.000260000316247573	0.00337992650135922	0.000476243237847112	0.0221007078639273	0.0417144819981973	0.00109871222120062	0.00346355395643033	0.00555936007754786	0	0.00107371597836523	0.00629673317405585	0.0010662771382173	0.000416078309295206	0.00100712149327915	0.00320611951061991	0	0.000293324417716424	0.00212009935737341	0.00136375369611792	0.00147472015766128	0.00364211561638796	0.00240901180347889	0.000565116213242408	0.00191301760997858	0.000798716102575121	0.000232033871403568	0.000833875579874006	0.000375421912470771	0.000596800364139068	0.000486927475409666
MN00005	0	0	0	0	0	0	0	0	4.71607843461296e-05	5.09840742248194e-05	0	0	0.00395349267047587	6.64522775423068e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000403461780628556	0.000995042611166662	0	0	0	0	0.000324047835358864	0	0	0	0	0	0	0	0.000546970005244177	0	0	0	0	0	0	0	0	0.000905649307122564	0	0	0	0	0.0250336393334585	0	0.0178446883097793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000111462140832378	0	0	2.2757509043506e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120759440147466	0	0.000401409345109452	0.00108257304880222	0	0.000130145153084199	0.00521197315434478	0	0	0	0	0	0	0	0.00197959920390084	0.000222872694895423	0.000484239115705827	5.30983448526522e-05	0	0	7.61609710555141e-05	0	0	0	0.000670015824641732	0	0.000205556527669022	0	0	0.0103130940533513	0	0	3.42862255716131e-05	0	0	0.00089136293971836	0	0	0	0	0	0	0.00441956087440905	9.08433810841752e-05	0	0	0.00388127733543166	0	0	0.0900076274920684	0.00768520751801904	0	0	0.000205631518283561	0	0	0.00184330445528087	0	0	0	0	0.00701177602687445	0.0049190604377765	0	0	0	0	0.00120134755667982	0.000511331485186488	0	0.00554582797304807	0	0	0	0.067767135807218	0.0199361922129179	0.000206008831197889	0	0.142635179192939	8.67347831541531e-05	0.00839712079985835	0.000625381314974496	0	0	0.0066864797441439	0.00333554006589858	0	0.00861406985470337	0.114695892857571	0.00125251460110393	0	0.000283701691482295	0.0172326650130359	0	7.34882201746727e-05	0	0	0.00165086723489121	0	0	0	3.95784893470845e-05	0	0.01075344483943	0	0	0	0	0	0.000128340353072886	0	0.000314777747007043	0.0028731407876334	0.00227688230819638	0.000454632727043897	0.00044901701885275	0.00023236022881393	0.0482139798263083	0.000694688559404195	0.000463269046378098	0.00312317970257984	0.0126834688849257	0.000421316931020786	0.000206352259797483	0.000256073810007773	0.000244518901881894	0.00359026354016634	0.000342110867377904	0.000199143452427548	0.00155782294629238	7.56086707873531e-05	0	0.00184261031324335	0.00010128181469904	5.05983167374151e-05	0.00156253477142343	0.000498471517060257	0.000961180496814325	0.00342376707713511	0.00406865196554423	0.00244842524811192	0.00414316341036089	0.052186680495853	0.0214649759766967	0.000272069963897021	0.000277926142373334	0.000830649354961112	9.21853899574842e-05	0.00040043497895869	2.49728034219484e-05	0.00268233013531784	0.00018870376211505	0.00590269579844512	0.000220616775882159	0.00510953269106919	0.00237740989185188	0.00242978572897052	0.00995066538879082	0	0.00480990516574498	0.00108048307895219	0.00163391436441505	0.00974495616741628	8.3886143257804e-05	0.00220955548538361	0.000460374111730797	0.00241266663890732	0.00190010169627485	0.00831329271082901	0.000453066605019226	0.000572215094250506	0.00312832307488698	0.000646006599018602	0	0	0.00164852402978454	0.00147470708761515
MN00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000268823088576519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241711312012407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000215444127491447	0.000177929719697659	0	6.43387814905849e-05	0	0	5.74950845285541e-05	0	0	0.000158708918022516	0	0	0	0	0.000435684998051634	0	0	0	2.94287437835656e-05	0	0	0	0	0	5.47743974457918e-05	0.000150924807295506	0.000279496130224188	0	3.97438298933956e-05	0	9.45071769727677e-05	4.48082469468073e-05	0	0.000842034200982561	8.08374611924973e-05	0	9.94263588830198e-05	0	0.00288689897777913	0	0.000110889899481117	0	0.000347304863204933	0.0197938474786661	4.1325199874407e-05	0.00018855862023885	0	6.63736549144798e-05	0.000131407027235633	0	0.000469134615110067	9.04681535462261e-05	0.000424265330964887	0	0	0.000148605224484128	0.00156518438200431	0	0.000545791002459312	0	0	0	0	0	0
MN00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.44235224641639e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0257418034971305	0	1.97206113685631e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0266684959172868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.60127312635905e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142686842762793	0	0	0	0	0	0	0.00209661329618231	0	0	0	0.000266318039335328	0	0.108051599766387	0	0	0	0	0	0	0	1.67548598750969e-05	0	0	0	0	0	0	0	0	0.00159575740918937	0	0	0	0	0	0	0	0.00258451315920818	0	0	0	0	0.0339311149974331	0	0	0.0253863042025701	0	0	0	0	0	0.0148758989150733	0	0	0	0	0	0	0	0	0	0	0.00181575383761059	0	0	0	0	0	0	0	0	0.0053084642066756	0.00529069696602942	0	0.0461912663532482	0	0	0	0	0	0.000128046005161536	0.00665765809796186	0	0	0	0	0.00460757874940036	0	0.0197913865853551	0	0.0110159080157166	0	0.00374120238563358	0	0	0	0.00244981443087394	0.140045523678041	0	0.000433217066759824
MN00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.67483118891107e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.07665112804364e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09296389377777e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000129837035674288	0	0	0	0	0	0	3.7941738403123e-05	0	7.12238302034159e-05	0	0	0	0	0	0	0	0.0746821561112103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107035012939367	0.0001266701653109	0	0	0	0	0	0	6.97321426300966e-05	0	8.60487215442599e-05	0.000150590430849634	4.5500775777882e-05	0.000462175230594888	4.60076244099434e-05	0.000115997298830841	0.000158920637198498	0.000365603183139657	8.19278957925512e-05	0.000311998750901281	6.51784207621844e-05	7.47546560054729e-05	0.000106149408916523	0.000174244825217361	0.000258239579496696	0.000136830701287199	0.00010765421692701	0.000223777256328163	0.000106125889553114	8.42821228394822e-05	4.07704139626336e-05	7.06605173157672e-05	0.00012581230444276	0.000129933124214873	0.000179203237770809	5.34482963423768e-05	4.56046990736782e-05	7.38617175008548e-05	0.000200090571398801	9.96384686215659e-05	9.64697685650617e-05	9.09121549269926e-05	0.000127442832878996	9.49536853060554e-05	0.000196728617455946	0.00012126883007364	5.50515754737891e-05	7.82247205820023e-05	4.33736841353584e-05	0.000104891847232173	9.72366579118175e-05	0.000118434609719767	0	0.000194491253986244	0.000266897377122014	2.24332623971531e-05	0.000210943531799715	4.47352323353842e-05	5.03344618021477e-05	4.53356355752031e-05	2.71116772049638e-05	9.49611187355687e-05	6.28343195170375e-05	8.84554775401531e-05	6.75241755208888e-05	0.000105440499260958	0.000224968439159554	5.17609585348572e-05	0.000130492460854049	9.32380376511969e-05	0.00195002594143082	3.68028627958402e-05	0.000113887235963342	7.7664487963634e-05	5.75636275777314e-05	3.38842811955086e-05	0.000139756267219491	5.30076305781545e-05	0.000140126211582078	5.2279281656368e-05	0	9.25784843236881e-05
MN00009	0	0	0	0	0.000150479117188939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013599781231838	0	0	0	0	0	0	0.000829744004185095	0.000204468175911107	0.000153612813070231	0	0	0	0	0	0	0	0	0	0	0	0.000115161862709203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000621964120570594	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225188327508594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000225585566599039	0	0	0	0	0	0	0.0019580012424924	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000664871334685017	0	0	0	0	0	0	0	0	0	0	0	0	0.000742811846997389	0	0	0	0	0.00602710861537589	0.0523678083841432	0	0	0	0	0	0	0	0	0.0839823568016503	0.000733777799989831	0	0	0.0942214316754464	0	0	0	0.0080997461062368	0	0	0	0	0	0	0	0	0	0	0.000734678646336115	0	0	0	0	0	0	0.000151230472811926	0.000864595096489684	0	0	0	0	0	0	0	0	0	0	0	0	0.000356772712310551	0	0	0.000363114389821518	0	0	0	0.0143052278936914	0.000653141205548039	0	0	0	0	2.41933942605781e-05	0	0	0	0	0.00096675472160281	0.0465865029498343	0	0	0	0	0	0	0	0	0.00052024076013829	0	0	0.000450323724259117	0.00240518455492941	0	1.79374088878905e-05	0.000323183897645657	0.00122683564737606	0	0	0	0.000115883447903074	0	6.59570579183511e-05	0.000157166383362062	0	0.000879050953536683	0.000121483266002405	1.38588739221413e-05	0	0.000209649823072506	0	0	0	0.000193092822889171	0.000201418637204345	0.000218730841896318	0.000401508613337252	0	5.42926784220534e-05	0.000212214201421307	2.55038407474417e-05	0	0.000138036417792439	0	0	0.000523085132484465	0	0	1.95395087629013e-05	0.000122179431255111	0	0	0.000821291837914837	0	0	0.000293470915011303	0.000596752604654721	0.000177731181476247	0	0	0.00124535837878908	0.000256990659290155	0	6.47104269471944e-05	0.000422477494876634	0	0.000296657081313755	0.00406185112341322	0	0.000577265802336077	0.000147946139880319	0.000165957716933019	0	0	4.36212195200781e-05	0
MN00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0106330928932806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000231758347564098	0	0	0	0	0	0	0	0	0	0	0	0.00126947951442746	0	0	0	0.0169301807178187	0	0	0	0.000103783343108288	0.000487059063768806	0.000112732497335947	0	0	0	0	0	0	9.829206070686e-05	0	0	0	0	0	0	0	0	0	5.88299299224618e-05	0	0	0	0	0	0	0.000115025647635474	4.71388963054556e-05	0	0	0	0	0.000370877100459573	0	0.000146250148749154	0	0	0.000889022278490339	0	0	0.000586552936609887	2.69648391521921e-05	4.90515468781443e-05	0	0	0.000691157379389212	0	0.000615003734814438	6.14391400483526e-05	0	0	0.000129794298602394	0	0	0	0	0.000318953487729029	0	0.00861489229631311	0.000110785557057456	6.30541291441315e-05	0.00192229952432888	0.00206702038313889	0.00051345792690098	0.000231242395745771	0.0277040791214603	0.000366834313871173	0.000514095073221045	0.00939781615416729	0.000127210197303183	0	0	0.0025422750130535	0.000739787652968954	0	0.000879774856752485	7.24201715616829e-05	0	0.000550349876814251	0.0004712286786505	0.00065923311775851	0.000238365591703322	0.000311050464040081	0.000228726287737413	0.000103320421028085	0.00340149939378922	0.00623694821219736	0.00949552557078521	0	0	0.000608524895842637	0.00566425846520778	0.000229822615153395	0.00103171688209013	0.00044628694295444	0.00135319370650142	0.000376783022768654	1.48747937143474e-05	0.00144356347413749	0.000507113159939845	0.00238728118197981	6.10528361013168e-05	0.00263355345629622	0.000454991393294816	0.000156703322419498	0.000111871400302954	5.17278020166026e-05	2.26448216049164e-05	0.000497956552712589	0	0.000972732375836287	1.33061039484599e-05	0.00104852947417534	0.000155633856520085	0.000562341171133305	0.000123354857453828	0	0.014059612233061	1.92410591676323e-05	0.0107073206260184	0	0.00226695480657213	0	0.000668246864879843	0.00139441971514344	0.000664422857645462	0	5.84939648322102e-05	0	0.000165010476395602	0.000213682246456059	0	3.61081535737589e-05	0.000163777128843896	0	0	8.19312741264498e-05	5.79025116788907e-05	0	3.82687006092549e-05	0.000139236094952152	4.09234936229758e-05	0	0.000135524675984564	0	0	0	0	0.000527735019888872	0	0	4.14975879701032e-05	0.000186995355852963	0	0.000215452741695445	0.00107048006763588	8.87815660536305e-05	4.49029485327772e-05	7.50233799819977e-05	1.32926823291911e-05	0	0.000408554240839381	0.000155962649984543	0	0	0	1.29604735296261e-05	7.8531037767248e-06	0	0	3.56859082695187e-05	3.93366576770967e-05	0	0	4.47754717823708e-05	0	1.57315148176029e-05	0	0.00179923046921504	7.55103691608683e-05	0	5.84659889965873e-05	0	0	0	2.82854936613891e-05	7.85828888963096e-05	0.0019794501992511	0	0	0	0	1.76044140063876e-05	0
