,MF_armax_3_1_05_1_minfpe,MF_armax_2_2_05_1_p4_5,MF_AR_arcov_5_a5,MF_StateSpace_n4sid_3_05_1_p3_5,MF_GARCHfit_ar_P1_Q2_stde_acmnd0,MF_armax_3_1_05_1_p3_5,MF_armax_3_1_05_1_p5_5,MF_armax_2_2_05_1_p1_5,MF_GARCHfit_ar_P1_Q2_stde_p4_5,MF_FitSubsegments_arma_2_2_uniform_25_01_q_2_max
Lumen_BIOMASS_Bacteroides theta_4m_1,0.95713,0.33797,0.30266,0.8413299999999999,0.14219,0.73932,0.5522699999999999,0.70353,0.60495,0.8897
Lumen_BIOMASS_Bacteroides fragilis_4m_1,0.9717,0.56908,0.20922,0.98375,0.14167000000000002,0.94455,0.4583600000000001,0.5483899999999999,0.6147699999999999,0.49853
Lumen_BIOMASS_Bifido longum_4m_1,0.99721,0.60448,0.24434,0.78159,0.15787,0.87311,0.73112,0.39099,0.62068,0.015445
Lumen_BIOMASS_Bifido breve_4m_1,0.96533,0.22312,0.26367,0.96957,0.14636,0.92879,0.64432,0.6005699999999999,0.52699,0.34387
Lumen_BIOMASS_Bifido adolescentis_4m_1,0.99398,0.9139,0.24547,0.82749,0.021711,0.98407,0.61306,0.16232,0.68611,0.00037604
Lumen_BIOMASS_Bacteroides theta_4m_2,0.92642,0.11382,0.3597,0.6502399999999999,0.16039,0.4346,0.4102,0.7361,0.40512,0.85505
Lumen_BIOMASS_Bacteroides fragilis_4m_2,0.9436,0.18152,0.316,0.78178,0.11939,0.5675600000000001,0.5051800000000001,0.64093,0.32021,0.78514
Lumen_BIOMASS_Bifido longum_4m_2,0.93707,0.13517,0.34092,0.7169,0.10593,0.5159100000000001,0.48513,0.67842,0.42689,0.46234
Lumen_BIOMASS_Bifido breve_4m_2,0.94297,0.17886,0.32119000000000003,0.79619,0.11828,0.55587,0.48473,0.6609,0.3017,0.8820399999999999
Lumen_BIOMASS_Bifido adolescentis_4m_2,0.94887,0.44481,0.31212,0.88008,0.10831,0.5784,0.48118,0.72075,0.25213,0.99824
Lumen_BIOMASS_Bacteroides theta_4m_3,0.94,0.2647,0.24261,0.59216,0.26259,0.57562,0.46368,0.76255,0.51568,0.88089
Lumen_BIOMASS_Bacteroides fragilis_4m_3,0.95536,0.61152,0.23715,0.76761,0.38793,0.7388399999999999,0.54897,0.59167,0.50512,0.93104
Lumen_BIOMASS_Bifido longum_4m_3,0.95539,0.63384,0.23867,0.8104600000000001,0.37341,0.73958,0.55819,0.57706,0.5271399999999999,0.99719
Lumen_BIOMASS_Bifido breve_4m_3,0.95483,0.58167,0.23784,0.76615,0.40561,0.7287899999999999,0.5423100000000001,0.6177600000000001,0.48873,0.95941
Lumen_BIOMASS_Bifido adolescentis_4m_3,0.9572,0.66225,0.2344,0.8370000000000001,0.34588,0.75998,0.51177,0.62563,0.5603199999999999,0.95807
Lumen_BIOMASS_Bacteroides theta_4m_4,0.95827,0.53183,0.23822,0.77979,0.3617,0.80373,0.50895,0.72683,0.54506,0.93976
Lumen_BIOMASS_Bacteroides fragilis_4m_4,0.95957,0.91968,0.23032,0.90378,0.11981,0.8648600000000001,0.54293,0.33722,0.71412,0.9415
Lumen_BIOMASS_Bifido longum_4m_4,0.95908,0.91915,0.23512,0.87018,0.077646,0.87508,0.54328,0.3336,0.72718,0.94393
Lumen_BIOMASS_Bifido breve_4m_4,0.95991,0.90873,0.23198,0.89625,0.13698,0.8619899999999999,0.54247,0.36057,0.70882,0.94116
Lumen_BIOMASS_Bifido adolescentis_4m_4,0.96058,0.91641,0.23194,0.89238,0.09948,0.8594299999999999,0.5342,0.34997,0.711,0.94593
Mucosa_BIOMASS_Bacteroides theta_4m_1,0.64332,0.0013074000000000002,0.8739299999999999,0.003993399999999999,0.655,0.019958,0.0031956,0.96479,0.31148000000000003,0.97721
Mucosa_BIOMASS_Bacteroides fragilis_4m_1,0.65475,0.0013239,0.8721200000000001,0.005627399999999999,0.7570100000000001,0.022324,0.0033116,0.98477,0.17140999999999998,1.0
Mucosa_BIOMASS_Bifido longum_4m_1,0.65463,0.0013123,0.86235,0.0049003,0.76065,0.021462,0.004294600000000001,0.97521,0.16537000000000002,1.0
Mucosa_BIOMASS_Bifido breve_4m_1,0.65515,0.0012943,0.8741,0.005176699999999999,0.75775,0.021781,0.0048637,0.97718,0.16802999999999998,0.98713
Mucosa_BIOMASS_Bifido adolescentis_4m_1,0.65614,0.0012771,0.87366,0.0051361,0.74121,0.022017,0.004760100000000001,0.97225,0.17948,1.0
Mucosa_BIOMASS_Bacteroides theta_4m_2,0.34448,0.0014167,0.96835,0.000354,0.55381,0.00059204,0.0057987,0.99555,0.20861,1.0
Mucosa_BIOMASS_Bacteroides fragilis_4m_2,0.3516,0.00061751,0.94164,0.00034533,0.6026100000000001,0.00064385,0.0011104,0.99841,0.25574,0.9862
Mucosa_BIOMASS_Bifido longum_4m_2,0.34406,0.00051276,0.86388,0.00034275,0.62087,0.00061027,0.02288,0.9971,0.23699,1.0
Mucosa_BIOMASS_Bifido breve_4m_2,0.35021,0.00070735,0.94745,0.00035863,0.60275,0.00063111,0.020773,0.97876,0.24742,0.99244
Mucosa_BIOMASS_Bifido adolescentis_4m_2,0.34807,0.00091494,0.94124,0.0003708,0.60785,0.00062239,0.020912,0.98432,0.23723,0.98862
Mucosa_BIOMASS_Bacteroides theta_4m_3,0.1707,0.00034652,0.99657,0.00059455,0.5294,0.00087323,0.00041986,0.99986,0.10116,1.0
Mucosa_BIOMASS_Bacteroides fragilis_4m_3,0.14866,0.00048433,0.8848299999999999,0.00053484,0.5169199999999999,0.0010574000000000002,0.00036103,0.99978,0.23523,0.99991
Mucosa_BIOMASS_Bifido longum_4m_3,0.13157,0.00028307,0.79771,0.00043643,0.54164,0.0011335000000000002,0.00031731,0.99971,0.1513,1.0
Mucosa_BIOMASS_Bifido breve_4m_3,0.14179,0.00041586,0.87797,0.00072829,0.55408,0.0017359,0.00045836,0.99983,0.17504,1.0
Mucosa_BIOMASS_Bifido adolescentis_4m_3,0.13842000000000002,0.00041912,0.87134,0.00077335,0.54264,0.0023523000000000003,0.00047811,0.99984,0.15366,1.0
Mucosa_BIOMASS_Bacteroides theta_4m_4,0.18208,0.00044411,0.72264,0.00023463,0.42548,0.0019348,0.00024214,1.0,0.26247,1.0
Mucosa_BIOMASS_Bacteroides fragilis_4m_4,0.16863,0.0026927,0.83524,0.00048016,0.45574,0.00017331,0.00024574,0.99583,0.2211,1.0
Mucosa_BIOMASS_Bifido longum_4m_4,0.15347,0.0026795,0.82375,0.0043827,0.47087,0.035242,0.0020473,0.99582,0.19662,1.0
Mucosa_BIOMASS_Bifido breve_4m_4,0.11049,0.0025386,0.85521,0.0017028,0.45209,0.011205,0.00096445,0.99589,0.2232,1.0
Mucosa_BIOMASS_Bifido adolescentis_4m_4,0.092656,0.0026156999999999994,0.8604,0.0016251999999999998,0.44535,0.010579,0.00099003,0.99584,0.26515,1.0
Rectum_BIOMASS_Bacteroides theta_4m_1,0.99992,0.98545,0.00056416,0.56507,0.058636,0.8856200000000001,0.56013,0.02777,0.91942,6.7624e-06
Rectum_BIOMASS_Bacteroides fragilis_4m_1,0.99656,0.99156,0.0018734,0.51364,0.0022533,0.79988,0.6137100000000001,0.027759,0.97694,4.6518e-07
Rectum_BIOMASS_Bifido longum_4m_1,0.96892,0.97783,0.0,0.55606,0.051225,0.65625,0.4098600000000001,0.041769,0.92211,1.2889e-07
Rectum_BIOMASS_Bifido breve_4m_1,1.0,0.99149,0.0012402,0.54395,0.076713,0.84683,0.65774,0.027789,0.92232,4.4494e-07
Rectum_BIOMASS_Bifido adolescentis_4m_1,0.99912,0.98361,0.0058103,0.5459,0.0050134,0.8357600000000001,0.60146,0.039122,0.97235,4.131800000000001e-07
Lumen_BIOMASS_Bacteroides theta_12m_1,0.99391,0.51393,0.34181,0.5142,0.39756,0.71672,0.57313,0.63694,0.36657,0.096395
Lumen_BIOMASS_Bacteroides fragilis_12m_1,0.99348,0.52163,0.34804,0.5309,0.40706,0.71331,0.57371,0.62576,0.32749,0.097566
Lumen_BIOMASS_Bifido longum_12m_1,0.99584,0.74228,0.30935,0.51563,0.19159,0.7559600000000001,0.7133,0.49013,0.54569,0.048586
Lumen_BIOMASS_Bifido breve_12m_1,0.99416,0.58265,0.32495,0.52076,0.43148,0.72141,0.58173,0.5939,0.28933000000000003,0.08462
Lumen_BIOMASS_Bifido adolescentis_12m_1,0.99357,0.43352,0.27094,0.5858,0.29677,0.69594,0.60433,0.63475,0.26686,0.050008
Lumen_BIOMASS_Eubacterium hallii_12m_1,0.93277,0.015544999999999996,0.43433,0.44165,0.71502,0.32596,0.76595,0.72604,0.39102,0.8387
Lumen_BIOMASS_Faecalibacterium prausnitzii_12m_1,0.99654,0.95956,0.2463,0.55898,0.059324,0.7642399999999999,0.7792,0.067522,0.8889799999999999,0.00015448
Lumen_BIOMASS_Roseburia intestinalis_12m_1,0.99683,0.95776,0.25053000000000003,0.56395,0.044629,0.76426,0.73815,0.079045,0.8886200000000001,5.5405e-05
Lumen_BIOMASS_Bacteroides theta_12m_2,0.8458700000000001,0.01012,0.64776,0.11234,0.25054,0.12417,0.10476,0.92831,0.53503,0.73626
Lumen_BIOMASS_Bacteroides fragilis_12m_2,0.83434,0.013714,0.52441,0.13702,0.15928,0.12464,0.051937,0.95891,0.48054,0.6854899999999999
Lumen_BIOMASS_Bifido longum_12m_2,0.8799799999999999,0.06360700000000001,0.14212,0.35382,0.12098,0.235,0.075213,0.93868,0.6370399999999999,0.4661
Lumen_BIOMASS_Bifido breve_12m_2,0.8590899999999999,0.015957,0.54977,0.18781,0.1869,0.14368,0.12081,0.91714,0.53258,0.65427
