Metabolic capacity of  each species	Bacteroides_thetaiotaomicron	Bacteroides_fragilis	Bifidobacterium_longum	Bifidobacterium_adolescentis	Bifidobacterium_breve	Eubacterium_hallii	Faecalibacterium_prausnitzii	Roseburia_intestinalis
KM_glc	1	1	1	1	1	1	0.06	0.06
KM_ac	0	0	0	0	0	1	1	1
Y_succ	1	0.829213483146067	0	0	0	0	0	0
Y_ac	0.380116959064328	0.286549707602339	0.859649122807018	0.596491228070176	1	-0.262573099415205	-0.368421052631579	-0.525730994152047
Y_lac	0	0	0.32	0.28	0.15	-1	0.08929	0.09
Y_form	0	0	0.718071465207728	0.598392887673106	0.700974525559925	0	1	0.397161908018465
Y_butyrate	0	0	0	0	0	0.593191489361702	0.927659574468085	1
Y_ethanol	0	0	1	0.121428571428571	0.714285714285714	0	0	0
Y_prop	0.727272727272727	1	0	0	0	0	0	0
Y_biom	1	0.986956521739131	0.932608695652174	0.739130434782609	0.91304347826087	0.108695652173913	0.556304347826087	0.492391304347826
Miu_max	0.744039783530788	0.632002340207693	0.743308468626591	0.694164107064502	0.635805177709522	0.735410267661255	1	0.970016088927892
HDP(host-derived PS)	1.01	1.01	1.01	-0.01	-0.01	-0.01	-0.01	-0.01
DDP(diet-derived PS)	1.01	1.01	1.01	1.01	1.01	1.01	1.01	1.01
MDP(milk-derived PS)	-0.01	1.01	1.01	-0.01	-0.01	-0.01	-0.01	-0.01
